iterations,fitness,time
4120,2222.59307469,12.832796538
4130,2230.4337864,12.861592757
4140,2237.23064861,12.888178239
4150,2246.83482072,12.921357797
4160,2222.59307469,12.950971479
4170,2237.23064861,12.982178553
4180,2222.59307469,13.012732411
4190,2230.4337864,13.039902011
4200,2246.83482072,13.065046266
4210,2230.4337864,13.086722439
4220,2222.59307469,13.118375436
4230,2222.59307469,13.145151596
4240,2237.23064861,13.171084617
4250,2246.83482072,13.2009947
4260,2222.59307469,13.227484653
4270,2237.23064861,13.250713817
4280,2237.23064861,13.279456797
4290,2222.59307469,13.308362136
4300,2222.59307469,13.33350337
4310,2222.59307469,13.358803566
4320,2237.23064861,13.387296209
4330,2222.59307469,13.416898563
4340,2229.29445558,13.451515193
4350,2237.23064861,13.481653335
4360,2223.90652666,13.513074498
4370,2222.59307469,13.540774599
4380,2222.59307469,13.580760055
4390,2222.59307469,13.61294884
4400,2222.59307469,13.636597496
4410,2246.83482072,13.668558221
4420,2222.59307469,13.696850369
4430,2229.68118243,13.72251342
4440,2222.59307469,13.753527172
4450,2222.59307469,13.800045535
4460,2222.59307469,13.849023461
4470,2222.59307469,13.884389213
4480,2222.59307469,13.925637299
4490,2222.59307469,13.972948204
4500,2222.59307469,14.004793389
4510,2222.59307469,14.036364829
4520,2237.23064861,14.065640198
4530,2230.4337864,14.093963308
4540,2222.59307469,14.123174488
4550,2222.59307469,14.151187981
4560,2222.59307469,14.181238524
4570,2222.59307469,14.209745893
4580,2222.59307469,14.238804531
4590,2246.83482072,14.268170142
4600,2222.59307469,14.294105807
4610,2222.59307469,14.317865473
4620,2237.23064861,14.348317007
4630,2237.23064861,14.378884081
4640,2222.59307469,14.404786896
4650,2235.75172652,14.428176532
4660,2222.59307469,14.455412963
4670,2222.59307469,14.487083706
4680,2242.17399654,14.5132833
4690,2222.59307469,14.538555555
4700,2246.83482072,14.566395738
4710,2230.4337864,14.590893952
4720,2230.4337864,14.619317498
4730,2222.59307469,14.647271711
4740,2222.59307469,14.672850562
4750,2222.59307469,14.70216973
4760,2222.59307469,14.733598444
4770,2222.59307469,14.762711453
4780,2222.59307469,14.790640745
4790,2228.47631765,14.817791465
4800,2222.59307469,14.844878751
4810,2246.83482072,14.875610827
4820,2230.4337864,14.906289287
4830,2230.4337864,14.946752383
4840,2237.23064861,14.991347726
4850,2251.08529619,15.041726856
4860,2230.4337864,15.073449328
4870,2230.4337864,15.102220249
4880,2222.59307469,15.129018686
4890,2222.59307469,15.155968534
4900,2222.59307469,15.183925012
4910,2246.83482072,15.21691238
4920,2222.59307469,15.252960043
4930,2222.59307469,15.290581841
4940,2222.59307469,15.327410719
4950,2246.83482072,15.360030701
4960,2222.59307469,15.385495145
4970,2222.59307469,15.413399895
4980,2222.59307469,15.451161021
4990,2222.59307469,15.520862483
